presence,variable,value,yr_scen,taxa
0,wb_ssp585_2081-2100,0.23562658580030968,distant-future_ssp585,perch
0,CMD_ssp585_2081-2100,0.1453277549661839,distant-future_ssp585,perch
0,inuncoast_rcp8p5_wtsub_2080_rp0005_0,0.0022528039179538343,distant-future_ssp585,perch
0,species_Tavg_ssp585_2081-2100,0.9775573084596557,distant-future_ssp585,perch
1,wb_ssp585_2081-2100,0.3942821423726829,distant-future_ssp585,perch
1,CMD_ssp585_2081-2100,0,distant-future_ssp585,perch
1,inuncoast_rcp8p5_wtsub_2080_rp0005_0,0.00166124583121149,distant-future_ssp585,perch
1,species_Tavg_ssp585_2081-2100,0.9997314242067689,distant-future_ssp585,perch
