presence,variable,value,yr_scen,taxa
0,wb_ssp585_2041-2060,0.0757194520688453,near-future_ssp585,bass
0,CMD_ssp585_2041-2060,0.11541589354229814,near-future_ssp585,bass
0,inuncoast_rcp8p5_wtsub_2030_rp0005_0,0.0012752885170342675,near-future_ssp585,bass
0,species_Tavg_ssp585_2041-2060,0.23070688189573868,near-future_ssp585,bass
1,wb_ssp585_2041-2060,0.13514342620866426,near-future_ssp585,bass
1,CMD_ssp585_2041-2060,0.07075278230525327,near-future_ssp585,bass
1,inuncoast_rcp8p5_wtsub_2030_rp0005_0,0.0011503034930429729,near-future_ssp585,bass
1,species_Tavg_ssp585_2041-2060,4.3027985417507e-4,near-future_ssp585,bass
