presence,variable,value,yr_scen,taxa
0,wb_ssp585_2041-2060,0.07270976035707331,near-future_ssp585,carp
0,CMD_ssp585_2041-2060,0.11454756740256704,near-future_ssp585,carp
0,inuncoast_rcp8p5_wtsub_2030_rp0005_0,0.0011971503546704424,near-future_ssp585,carp
0,species_Tavg_ssp585_2041-2060,0.25632689832925537,near-future_ssp585,carp
1,wb_ssp585_2041-2060,0.23540940447620257,near-future_ssp585,carp
1,CMD_ssp585_2041-2060,0.03335028353479053,near-future_ssp585,carp
1,inuncoast_rcp8p5_wtsub_2030_rp0005_0,0.001962818336192983,near-future_ssp585,carp
1,species_Tavg_ssp585_2041-2060,0,near-future_ssp585,carp
