state,N,Y,per_with_aq,,
Delaware,0,3,100,,
Massachusetts,2,18455,99.989164,,
Hawaii,1,1757,99.94311718,,
Florida,13,20447,99.93646139,,
Connecticut,1,1441,99.93065187,,
Rhode Island,1,739,99.86486486,,
New Hampshire,1,703,99.85795455,,
Washington,12,6506,99.81589445,,
Maine,3,1625,99.81572482,,
Pennsylvania,12,4297,99.72151311,,
New Jersey,4,1117,99.64317574,,
Louisiana,25,4275,99.41860465,,
New York,28,4334,99.35809262,,
California,12,1467,99.18864097,,
Arizona,2,158,98.75,,
Virginia,77,5495,98.61809045,,
Maryland,8,449,98.24945295,,
Oregon,9,491,98.2,,
Alabama,25,627,96.16564417,,
Wisconsin,22,533,96.03603604,,
North Carolina,42,754,94.72361809,,
Utah,14,177,92.67015707,,
Ohio,39,381,90.71428571,,
Alaska,16,130,89.04109589,,
Mississippi,46,336,87.95811518,,
South Carolina,25,178,87.68472906,,
Idaho,21,129,86,,
Arkansas,44,162,78.6407767,,
New Mexico,22,81,78.6407767,,
Wyoming,11,40,78.43137255,,
Texas,171,517,75.14534884,,
Colorado,34,91,72.8,,
Michigan,52,136,72.34042553,,
Vermont,8,20,71.42857143,,
Nevada,13,30,69.76744186,,
West Virginia,34,75,68.80733945,,
Minnesota,72,153,68,,
Missouri,65,111,63.06818182,,
Tennessee,66,85,56.29139073,,
Georgia,106,133,55.64853556,,
Illinois,81,91,52.90697674,,
Montana,42,35,45.45454545,,
Iowa,73,59,44.6969697,,
Nebraska,76,57,42.85714286,,
Indiana,72,48,40,,
Kentucky,93,62,40,,
Oklahoma,55,22,28.57142857,,
South Dakota,57,16,21.91780822,,
Kansas,91,21,18.75,,
North Dakota,52,8,13.33333333,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
